HEADLINE,URL
7년 전 이강인이 밝힌 꿈의 클럽과 좋아하는 선수 (영상),http://www.wikitree.co.kr/main/news_view.php?id=400896
"아스널, 인테르 페리시치 영입 포기할 듯...카라스코로 선회",https://www.thesportsasia.com/index.php?mid=sports_asia&type=main&document_srl=9487017
"‘예언 적중왕’ 사비, 아시안컵 우승팀도 적중?",http://www.joongdo.co.kr/main/view.php?key=20190130010011991
"알바, 바르사와 5년 재계약 합의…공식 발표 임박",http://www.sportalkorea.com/news/view.php?gisa_uniq=2019013013402414§ion_code=20&cp=se&gomb=1
"'이적 요구' 데파이, 6개 팀 콕 찍었다 '단, 맨유는 빼고'",http://star.mt.co.kr/stview.php?no=2019013003115927454
"아들에게 지적받는 메시 ""많은 이야기를 나눈다""",http://www.spotvnews.co.kr/?mod=news&act=articleView&idxno=262189
"레알, '분데스리가 득점 1위' 요비치 노린다...바르사-뮌헨과 경쟁",http://www.sportalkorea.com/news/view.php?gisa_uniq=2019013007562436§ion_code=20&cp=se&gomb=1
아시안컵 결승행 카타르의 힘은 국가적인 투자와 지원,http://sports.donga.com/3/all/20190130/93924632/1
"신들린 사비의 예언, 카타르의 우승도 적중할까",http://sports.donga.com/3/all/20190130/93924415/1
사비 예측 또 적중… 카타르 아시안컵 우승하나,http://www.kukinews.com/news/article.html?no=627590
