HeadLine,URL
"
							2019학년도 1학기 한국과학기술연구원(KIST) Co-op 교내면접 결과 알림",?do=commonview&searchtext=&searchtype=-1&nowpage=1&bnum=4691&bidx=474228&qidx=4691&cate=10&allboard=false&nowpage=1
"
							제1차 창업포럼 참가자 모집",?do=commonview&searchtext=&searchtype=-1&nowpage=1&bnum=4691&bidx=474027&qidx=4691&cate=10&allboard=false&nowpage=1
"
							2019학년도 1학기 한국과학기술연구원(KIST) Co-op 서류결과 및 교내 면접 알림",?do=commonview&searchtext=&searchtype=-1&nowpage=1&bnum=4691&bidx=474023&qidx=4691&cate=10&allboard=false&nowpage=1
"
							서울과학기술대학교 대학협력형 행복주택(기숙사) 건립 관련 지역주민 설명회 개최 알림 ",?do=commonview&searchtext=&searchtype=-1&nowpage=1&bnum=4691&bidx=473972&qidx=4691&cate=10&allboard=false&nowpage=1
"
							2019학년도 1학기 생활관생[정시 신입생, 편입생] 모집 안내",?do=commonview&searchtext=&searchtype=-1&nowpage=1&bnum=4691&bidx=473888&qidx=4691&cate=10&allboard=false&nowpage=1
"
							ICT 학점연계 프로젝트 인터십 (국내과정) 안내",?do=commonview&searchtext=&searchtype=-1&nowpage=1&bnum=4691&bidx=473691&qidx=4691&cate=10&allboard=false&nowpage=1
"
							발전기금(총동문회 파견)시간제 근로장학생 모집",?do=commonview&searchtext=&searchtype=-1&nowpage=1&bnum=4691&bidx=474345&qidx=4691&cate=10&allboard=false&nowpage=1
"
							[한국관광공사] 대학생 기자단 (트래블리더) 11기 모집 안내",?do=commonview&searchtext=&searchtype=-1&nowpage=1&bnum=4691&bidx=474326&qidx=4691&cate=10&allboard=false&nowpage=1
"
							2018 제2회 창업선도대학 K-Valley 창업캠프 참가자 모집 마감 ",?do=commonview&searchtext=&searchtype=-1&nowpage=1&bnum=4691&bidx=474282&qidx=4691&cate=10&allboard=false&nowpage=1
"
							[국제교육본부] 2019년 GKS 외국인 우수 자비 장학생 모집 ",?do=commonview&searchtext=&searchtype=-1&nowpage=1&bnum=4691&bidx=474266&qidx=4691&cate=10&allboard=false&nowpage=1
"
							[입학관리본부] 2019학년도 고른기회전형 입학생 생활지원 계획 안내",?do=commonview&searchtext=&searchtype=-1&nowpage=1&bnum=4691&bidx=474206&qidx=4691&cate=10&allboard=false&nowpage=1
"
							2019 강북 청년도전 프로젝트 참가자 모집 홍보",?do=commonview&searchtext=&searchtype=-1&nowpage=1&bnum=4691&bidx=474187&qidx=4691&cate=10&allboard=false&nowpage=1
"
							2019-2020 러시아 정부초청 장학생 선발 안내 ",?do=commonview&searchtext=&searchtype=-1&nowpage=1&bnum=4691&bidx=474157&qidx=4691&cate=10&allboard=false&nowpage=1
"
							2019 대만장학금 장학생 선발 안내",?do=commonview&searchtext=&searchtype=-1&nowpage=1&bnum=4691&bidx=474156&qidx=4691&cate=10&allboard=false&nowpage=1
"
							2019 터키 정부초청 장학생 선발 안내",?do=commonview&searchtext=&searchtype=-1&nowpage=1&bnum=4691&bidx=474155&qidx=4691&cate=10&allboard=false&nowpage=1
